,Time,Survival
190,95.0,0.8943884761718683
191,95.5,0.8943884761718683
192,96.0,0.8939658691216134
193,96.5,0.8939658691216134
194,97.0,0.8938225620919009
195,97.5,0.8938225620919009
196,98.0,0.89353291115602
197,98.5,0.8933866897617085
198,99.0,0.8930929680659583
199,99.5,0.8929453210438245
200,100.0,0.8927971346525201
201,100.5,0.8927971346525201
202,101.0,0.8927971346525201
203,101.5,0.8926460706887404
204,102.0,0.8923430697218119
205,102.5,0.8920393973014717
206,103.0,0.8918866698710395
207,103.5,0.8917334851853941
208,104.0,0.8915794479584356
209,104.5,0.8915794479584356
210,105.0,0.8915794479584356
211,105.5,0.8915794479584356
212,106.0,0.8915794479584356
213,106.5,0.891423299983475
214,107.0,0.891423299983475
215,107.5,0.891423299983475
216,108.0,0.8912649443709055
217,108.5,0.8912649443709055
218,109.0,0.8909450273025614
219,109.5,0.8909450273025614
220,110.0,0.8903014590878039
221,110.5,0.8899789601653149
222,111.0,0.8898166516494707
223,111.5,0.8896530586157978
224,112.0,0.8894886018703532
225,112.5,0.8894886018703532
226,113.0,0.8893225038943412
227,113.5,0.8891550371672061
228,114.0,0.8886496044770348
229,114.5,0.8886496044770348
230,115.0,0.8881388653582792
231,115.5,0.8881388653582792
232,116.0,0.8879671217939419
233,116.5,0.8877941017782024
234,117.0,0.8876196757146395
235,117.5,0.8876196757146395
236,118.0,0.8872671055864381
237,118.5,0.8870894361669583
238,119.0,0.8870894361669583
239,119.5,0.8869096363431325
240,120.0,0.8867288776479435
241,120.5,0.8863647375941683
242,121.0,0.8863647375941683
243,121.5,0.8861802847176969
244,122.0,0.885809004868016
245,122.5,0.885809004868016
246,123.0,0.8854342435369909
247,123.5,0.8852464362460583
248,124.0,0.8850572271833641
249,124.5,0.8846772190668979
250,125.0,0.8846772190668979
251,125.5,0.8844850217765422
252,126.0,0.8844850217765422
253,126.5,0.8844850217765422
254,127.0,0.8844850217765422
255,127.5,0.8844850217765422
256,128.0,0.8842894504774985
257,128.5,0.8842894504774985
258,129.0,0.8836970888643513
259,129.5,0.8836970888643513
260,130.0,0.8834983123085766
261,130.5,0.8832993681634043
262,131.0,0.8830999776436046
263,131.5,0.8826998269226916
264,132.0,0.8826998269226916
265,132.5,0.8824980214197423
266,133.0,0.8824980214197423
267,133.5,0.8824980214197423
268,134.0,0.8822945268415054
269,134.5,0.8820905035087206
270,135.0,0.8818852107756091
271,135.5,0.8814737512773309
272,136.0,0.8814737512773309
273,136.5,0.8814737512773309
274,137.0,0.8812649986908598
275,137.5,0.8810550438000424
276,138.0,0.8810550438000424
277,138.5,0.8810550438000424
278,139.0,0.8808412228800037
279,139.5,0.8808412228800037
280,140.0,0.8804094239783109
281,140.5,0.8799764346982195
282,141.0,0.8797583389038153
283,141.5,0.8797583389038153
284,142.0,0.8797583389038153
285,142.5,0.8797583389038153
286,143.0,0.8793144328810664
287,143.5,0.8793144328810664
288,144.0,0.8788666485300006
289,144.5,0.8784170503842892
290,145.0,0.8781907408920241
291,145.5,0.8779636468701474
292,146.0,0.8772772619442508
293,146.5,0.8772772619442508
294,147.0,0.8772772619442508
295,147.5,0.8768123656382283
296,148.0,0.8765778942775178
297,148.5,0.876106527492703
298,149.0,0.876106527492703
299,149.5,0.876106527492703
300,150.0,0.876106527492703
301,150.5,0.876106527492703
302,151.0,0.876106527492703
303,151.5,0.876106527492703
304,152.0,0.8758663680757576
305,152.5,0.8758663680757576
306,153.0,0.8758663680757576
307,153.5,0.8758663680757576
308,154.0,0.8758663680757576
309,154.5,0.8756217553272697
310,155.0,0.8753768854480595
311,155.5,0.8751306126768709
312,156.0,0.8751306126768709
313,156.5,0.8751306126768709
314,157.0,0.8751306126768709
315,157.5,0.8748780744171377
316,158.0,0.8746244665837631
